mysql> select distinct lineid, processid, snap_date, loaded_at from facts_wip_source where snap_date='2026-06-09' order by lineid, processid, loaded_at;
+--------+------------------+------------+---------------------+
| lineid | processid        | snap_date  | loaded_at           |
+--------+------------------+------------+---------------------+
| KFR4   | 2GAB_CAPM3M      | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 2GAB_CAPM3M      | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4128GIGA8K_TVSL  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4128GIGA8K_TVSL  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA0A_BMV0A  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA0A_BMV0A  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA0J_VTCH   | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA0J_VTCH   | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA25A_VCTA  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA25A_VCTA  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA2L_NTSV4  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA2L_NTSV4  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0AP2C | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0AP2C | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0AP2H | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0AP2H | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0AP2P | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0AP2P | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0AP2R | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0AP2R | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0APVC | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0APVC | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0APVH | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0APVH | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0APVP | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0APVP | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA3L_D0APVV | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA3L_D0APVV | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA5A_D0AREV | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA5A_D0AREV | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA5J_HUV1B  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA5J_HUV1B  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA5J_HUV1T  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA5J_HUV1T  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA5L_FEOSC  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA5L_FEOSC  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA5Q_GUVC   | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA5Q_GUVC   | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 416GIGA6C_FECHL  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 416GIGA6C_FECHL  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 41GIGA3L_SOMNGV  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 41GIGA3L_SOMNGV  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 41TERA5I_HVFIN   | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 41TERA5I_HVFIN   | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4LEDOS5G_PV3BOT  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4LEDOS5G_PV3BOT  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4NAR3A_VSDRAM_C  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4NAR3A_VSDRAM_C  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4NAR3A_VSDRAM_H  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4NAR3A_VSDRAM_H  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4NAR3A_VSDRAM_S  | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4NAR3A_VSDRAM_S  | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4NDR5D_P3DFINTEG | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4NDR5D_P3DFINTEG | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4PKG2E_LED_BOT   | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4PKG2E_LED_BOT   | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_1906_DD064     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_1906_DD064     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2003_MM088     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2003_MM088     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2006_MC103     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2006_MC103     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2204_MM197     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2204_MM197     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2301_MO058     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2301_MO058     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2310_MO106     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2310_MO106     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2506_AA182     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2506_AA182     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | 4_2603_AM100     | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | 4_2603_AM100     | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K42A             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K42A             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K42S             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K42S             | 2026-06-09 | 2026-06-09 09:52:27 |
